route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BX22,GH_A5-Weekday,GH_A5-Weekday-095800_BX22_424,BEDFORD PARK PAUL AV-205 ST,0,36466980,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-096500_BX22_412,FORDHAM CENTER VALENTINE AV,0,36466969,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-097100_BX22_415,BEDFORD PARK PAUL AV-205 ST,0,36466970,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-097700_BX22_413,FORDHAM CENTER VALENTINE AV,0,36466968,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-098300_BX22_426,BEDFORD PARK PAUL AV-205 ST,0,36466979,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-098900_BX22_433,FORDHAM CENTER VALENTINE AV,0,36466965,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-099500_BX22_416,BEDFORD PARK PAUL AV-205 ST,0,36466983,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-100100_BX22_428,BEDFORD PARK PAUL AV-205 ST,0,36466982,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-100700_BX22_430,BEDFORD PARK PAUL AV-205 ST,0,36466988,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-101400_BX22_417,BEDFORD PARK PAUL AV-205 ST,0,36466984,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-102100_BX22_418,BEDFORD PARK PAUL AV-205 ST,0,36466978,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-102900_BX22_427,BEDFORD PARK PAUL AV-205 ST,0,36466961,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-103700_BX22_414,BEDFORD PARK PAUL AV-205 ST,0,36466974,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-104500_BX22_420,BEDFORD PARK PAUL AV-205 ST,0,36466972,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-103300_BX22_412,CASTLE HILL ZEREGA AV,1,36466969,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-105500_BX22_432,BEDFORD PARK PAUL AV-205 ST,0,36466986,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-106500_BX22_421,BEDFORD PARK PAUL AV-205 ST,0,36466985,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-107500_BX22_425,BEDFORD PARK PAUL AV-205 ST,0,36466964,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-108500_BX22_434,BEDFORD PARK PAUL AV-205 ST,0,36466989,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-101700_BX22_434,CASTLE HILL ZEREGA AV,1,36466989,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-109500_BX22_428,BEDFORD PARK PAUL AV-205 ST,0,36466973,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-100100_BX22_408,CASTLE HILL ZEREGA AV,1,36466987,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-110500_BX22_429,BEDFORD PARK PAUL AV-205 ST,0,36466981,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-111700_BX22_422,BEDFORD PARK PAUL AV-205 ST,0,36466980,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-098500_BX22_432,CASTLE HILL ZEREGA AV,1,36466986,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-112900_BX22_431,BEDFORD PARK PAUL AV-205 ST,0,36466965,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-097000_BX22_414,CASTLE HILL ZEREGA AV,1,36466974,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-114100_BX22_423,BEDFORD PARK PAUL AV-205 ST,0,36466979,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-115300_BX22_424,BEDFORD PARK PAUL AV-205 ST,0,36466982,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-095700_BX22_418,CASTLE HILL ZEREGA AV,1,36466978,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-116500_BX22_425,BEDFORD PARK PAUL AV-205 ST,0,36466988,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-117700_BX22_433,BEDFORD PARK PAUL AV-205 ST,0,36466978,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-094500_BX22_430,CASTLE HILL ZEREGA AV,1,36466988,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-119200_BX22_426,BEDFORD PARK PAUL AV-205 ST,0,36466961,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-093200_BX22_416,CASTLE HILL ZEREGA AV,1,36466983,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-120700_BX22_430,BEDFORD PARK PAUL AV-205 ST,0,36466986,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-091700_BX22_426,CASTLE HILL ZEREGA AV,1,36466979,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-122200_BX22_427,BEDFORD PARK PAUL AV-205 ST,0,36466964,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-123700_BX22_428,BEDFORD PARK PAUL AV-205 ST,0,36466973,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-090200_BX22_415,CASTLE HILL ZEREGA AV,1,36466970,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-125200_BX22_432,BEDFORD PARK PAUL AV-205 ST,0,36466981,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-088700_BX22_424,CASTLE HILL ZEREGA AV,1,36466980,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-127000_BX22_431,BEDFORD PARK PAUL AV-205 ST,0,36466965,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-086600_BX22_409,CASTLE HILL ZEREGA AV,1,36466973,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-129000_BX22_429,FORDHAM CENTER VALENTINE AV,0,36466982,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-084600_BX22_406,CASTLE HILL ZEREGA AV,1,36466974,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-131000_BX22_433,FORDHAM CENTER VALENTINE AV,0,36466978,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-133000_BX22_430,FORDHAM CENTER VALENTINE AV,0,36466986,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-082400_BX22_405,CASTLE HILL ZEREGA AV,1,36466972,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-135000_BX22_434,FORDHAM CENTER VALENTINE AV,0,36466964,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-137000_BX22_432,FORDHAM CENTER VALENTINE AV,0,36466981,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-080000_BX22_412,CASTLE HILL ZEREGA AV,1,36466979,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-139000_BX22_431,FORDHAM CENTER VALENTINE AV,0,36466965,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-141000_BX22_433,FORDHAM CENTER VALENTINE AV,0,36466978,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-077600_BX22_403,CASTLE HILL ZEREGA AV,1,36466965,BX220012
